"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Plethodontohyla bipunctata","737.917","12","3",NA,"3","2","EN","EN B1a+B2a","66.7","EN","EN"
"Plethodontohyla brevipes","4","4","3",NA,"1","1","LC","CR B1a","100","EN","CR"
"Plethodontohyla guentheri","62.092","16","7",NA,"2","1","EN","EN B1a+B2a","88.9","EN","EN"
"Plethodontohyla inguinalis","21318.893","48","12",NA,"8","4","VU","VU B2a","57.9","VU","NT or LC"
"Plethodontohyla mihanika","6618.6","16","4",NA,"4","2","EN","EN B2a","40","EN","VU"
"Plethodontohyla notosticta","60978.518","80","21",NA,"16","5","LC","LC B1a+B2a","25.7","NT or LC","NT or LC"
"Plethodontohyla ocellata","39852.124","24","6",NA,"6","0","VU","VU B2a","0","VU","NT or LC"
"Plethodontohyla tuberata",NA,"8","2",NA,"1","1","LC","LC B2a","100","LC",NA
"Ptychadena aequiplicata","23669875.597","372","95",NA,"90","1","LC","LC B1a+B2a","9.6","NT or LC","NT or LC"
"Ptychadena mascareniensis","33749778.896","1388","354",NA,"315","14","LC","LC B1a+B2a","7.2","NT or LC","NT or LC"
"Rhombophryne alluaudi","919.522","20","5",NA,"3","1","EN","EN B1a+B2a","41.7","EN","EN"
"Rhombophryne coronata",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Rhombophryne coudreaui",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Rhombophryne laevipes",NA,"8","2",NA,"2","1","EN","EN B2a","75","EN",NA
"Rhombophryne minuta",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Rhombophryne testudo","238.924","12","3",NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Scaphiophryne brevis","1050.531","36","13",NA,"4","2","EN","EN B1a+B2a","64.3","EN","EN"
"Scaphiophryne calcarata","151292.216","32","8",NA,"6","1","VU","VU B2a","9.7","VU","NT or LC"
"Scaphiophryne madagascariensis","1929.489","12","3",NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
